time,date,Volume,anom
1996-03-01 00:00:00,199603,2507897000000000.0,46240690000000.0
1996-04-01 00:00:00,199604,2465162000000000.0,37001140000000.0
1996-05-01 00:00:00,199605,2445983000000000.0,46340280000000.0
1996-06-01 00:00:00,199606,2440368000000000.0,58960240000000.0
1996-07-01 00:00:00,199607,2428658000000000.0,52172580000000.0
1996-08-01 00:00:00,199608,2439065000000000.0,44975020000000.0
1996-09-01 00:00:00,199609,2469404000000000.0,36295430000000.0
1996-10-01 00:00:00,199610,2512970000000000.0,31102270000000.0
1996-11-01 00:00:00,199611,2579045000000000.0,52097950000000.0
1996-12-01 00:00:00,199612,2642714000000000.0,97780300000000.0
1997-01-01 00:00:00,199701,2686328000000000.0,157497000000000.0
1997-02-01 00:00:00,199702,2694120000000000.0,199734800000000.0
1997-03-01 00:00:00,199703,2686111000000000.0,224455000000000.0
1997-04-01 00:00:00,199704,2687697000000000.0,259536600000000.0
1997-05-01 00:00:00,199705,2666868000000000.0,267225900000000.0
1997-06-01 00:00:00,199706,2612996000000000.0,231588100000000.0
1997-07-01 00:00:00,199707,2555528000000000.0,179042700000000.0
1997-08-01 00:00:00,199708,2550211000000000.0,156120700000000.0
1997-09-01 00:00:00,199709,2602844000000000.0,169735800000000.0
1997-10-01 00:00:00,199710,2645864000000000.0,163996600000000.0
1997-11-01 00:00:00,199711,2611981000000000.0,85033100000000.0
1997-12-01 00:00:00,199712,2498276000000000.0,-46657840000000.0
1998-01-01 00:00:00,199801,2358433000000000.0,-170398300000000.0
1998-02-01 00:00:00,199802,2267978000000000.0,-226406500000000.0
1998-03-01 00:00:00,199803,2202850000000000.0,-258806500000000.0
1998-04-01 00:00:00,199804,2134285000000000.0,-293875600000000.0
1998-05-01 00:00:00,199805,2066714000000000.0,-332928300000000.0
1998-06-01 00:00:00,199806,2022970000000000.0,-358438200000000.0
1998-07-01 00:00:00,199807,2004112000000000.0,-372373800000000.0
1998-08-01 00:00:00,199808,2031529000000000.0,-362561000000000.0
1998-09-01 00:00:00,199809,2094708000000000.0,-338400900000000.0
1998-10-01 00:00:00,199810,2163092000000000.0,-318775800000000.0
1998-11-01 00:00:00,199811,2235136000000000.0,-291811500000000.0
1998-12-01 00:00:00,199812,2307169000000000.0,-237764800000000.0
1999-01-01 00:00:00,199901,2347512000000000.0,-181319000000000.0
1999-02-01 00:00:00,199902,2353556000000000.0,-140828500000000.0
1999-03-01 00:00:00,199903,2336246000000000.0,-125410100000000.0
1999-04-01 00:00:00,199904,2321196000000000.0,-106964800000000.0
1999-05-01 00:00:00,199905,2307033000000000.0,-92609700000000.0
1999-06-01 00:00:00,199906,2299004000000000.0,-82404580000000.0
1999-07-01 00:00:00,199907,2295479000000000.0,-81006300000000.0
1999-08-01 00:00:00,199908,2292051000000000.0,-102039300000000.0
1999-09-01 00:00:00,199909,2323113000000000.0,-109996000000000.0
1999-10-01 00:00:00,199910,2381948000000000.0,-99919460000000.0
1999-11-01 00:00:00,199911,2426284000000000.0,-100663800000000.0
1999-12-01 00:00:00,199912,2462247000000000.0,-82686710000000.0
2000-01-01 00:00:00,200001,2487857000000000.0,-40973990000000.0
2000-02-01 00:00:00,200002,2493046000000000.0,-1338688000000.0
2000-03-01 00:00:00,200003,2481390000000000.0,19733500000000.0
2000-04-01 00:00:00,200004,2462374000000000.0,34213440000000.0
2000-05-01 00:00:00,200005,2453312000000000.0,53669370000000.0
2000-06-01 00:00:00,200006,2445155000000000.0,63747250000000.0
2000-07-01 00:00:00,200007,2429275000000000.0,52789710000000.0
2000-08-01 00:00:00,200008,2423873000000000.0,29782380000000.0
2000-09-01 00:00:00,200009,2454025000000000.0,20915950000000.0
2000-10-01 00:00:00,200010,2501178000000000.0,19310710000000.0
2000-11-01 00:00:00,200011,2536732000000000.0,9784204000000.0
2000-12-01 00:00:00,200012,2555972000000000.0,11038330000000.0
2001-01-01 00:00:00,200101,2546211000000000.0,17379850000000.0
2001-02-01 00:00:00,200102,2512901000000000.0,18516410000000.0
2001-03-01 00:00:00,200103,2494813000000000.0,33156610000000.0
2001-04-01 00:00:00,200104,2475254000000000.0,47092970000000.0
2001-05-01 00:00:00,200105,2448680000000000.0,49037520000000.0
2001-06-01 00:00:00,200106,2440925000000000.0,59516970000000.0
2001-07-01 00:00:00,200107,2433566000000000.0,57080380000000.0
2001-08-01 00:00:00,200108,2436859000000000.0,42769020000000.0
