,ZC_oni
1984-05,-1.0334070414680845
1984-06,-1.799268018268446
1984-07,-2.1128144678858902
1984-08,-2.1128376406797216
1984-09,-1.9562298966332037
1984-10,-1.6787533250139184
1984-11,-1.3351409665834737
1984-12,-0.7953744583130806
1985-01,-0.17261506955075845
1985-02,0.44345863406625696
1985-03,0.7998269699557774
1985-04,0.8394160710005139
1985-05,0.7365589458375119
1985-06,0.7103870581767495
1985-07,0.8699669183622305
1985-08,1.1932489754095634
1985-09,1.550800844071187
1985-10,1.8503380231753397
1985-11,2.072852798230169
1985-12,2.3024561856528187
1986-01,2.4627720821457864
1986-02,2.551014549937662
1986-03,2.4311851626957406
1986-04,2.1029450329799353
1986-05,1.7612086557456301
1986-06,1.5882175983467945
1986-07,1.7040555367665569
1986-08,1.97229583786255
1986-09,2.2080637043066105
1986-10,2.3793451199291837
1986-11,2.45862900307279
1986-12,2.5192002783271334
1987-01,2.4880209192176572
1987-02,2.4187967684524168
1987-03,2.0971868654298795
1987-04,1.4214179245420553
1987-05,0.42903046391874966
1987-06,-0.6024712122331586
1987-07,-1.3181765553086606
1987-08,-1.7265448778429722
1987-09,-1.8801060428535052
1987-10,-1.8375153397741606
1987-11,-1.7700154142818825
1987-12,-1.6853274318780826
1988-01,-1.610483273142524
1988-02,-1.4770076352647301
1988-03,-1.457328457119047
1988-04,-1.6784447912082001
1988-05,-1.9801169482035128
1988-06,-2.2420421715376513
1988-07,-2.395909626493072
1988-08,-2.1587150626775617
1988-09,-1.6348669975243126
1988-10,-1.0556543239251361
1988-11,-0.3461501368984621
1988-12,0.5415833791842495
1989-01,1.3321205366209306
1989-02,1.9191210398110528
1989-03,2.155968567884422
1989-04,2.087750553172519
1989-05,1.9336787792796244
1989-06,1.874790162572122
1989-07,2.013567514248482
1989-08,2.307154171214872
1989-09,2.588485153026202
1989-10,2.749902338416529
1989-11,2.8183153083392227
1989-12,2.8987073026280967
1990-01,2.8936661486024136
1990-02,2.8604635092638304
1990-03,2.64760032617151
1990-04,2.237745370546257
1990-05,1.719984644266173
1990-06,1.4026473215882405
1990-07,1.4245765874452907
1990-08,1.4407389618896538
1990-09,1.283223035258576
1990-10,1.1538221309495462
1990-11,1.0931542703625396
1990-12,1.0185334303686489
1991-01,0.8853202570137491
1991-02,0.6680036266044667
1991-03,0.22096132261671286
